Adaptable,適応性のある,"You're young and adaptable.",
Assignment,任務・課題,"a three-year assignment",
Brainstorming,ブレインストーミング,"a brainstorming session",
Breathtaking,息をのむような,"a breathtaking view",
Budget,予算,"within the budget",
Clarify,明確にする,"Could you please clarify that?",
Client,顧客,"a potential client",
Colleague,同僚,"a former colleague",
Compensate,補償する,"compensate for the loss",
Complaint,苦情,"file a complaint",
Confirm,確認する,"a confirmation email",
Customs,税関,"clear customs",
Deadline,締め切り,"ahead of the deadline",
Declare,申告する,"nothing to declare",
Dedicated,献身的な,"dedication to work",
Delayed,遅延した,"the flight is delayed",
Departure,出発,"departure gate",
Destination,目的地,"a popular tourist destination",
Determined,固く決心した,"She was determined to succeed.",
Diverse,多様な,"diverse backgrounds",
